question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation
295,single,燃料及び燃焼に関する知識,通風・ファン,平衡通風に関する記述として、適切なものは次のうちどれか。,,,,,,押込ファンと誘引ファンを用いて炉内圧を調整する方式である。,ファンを一切使わない方式である。,給水ポンプだけで通風する方式である。,安全弁で空気量を調整する方式である。,水面計で排ガスを吸引する方式である。,1,平衡通風では押込と誘引の両方を使い、炉内圧を適切に保つ。
296,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,空気過剰が大きすぎる場合の影響として、適切なものは次のうちどれか。,,,,,,排ガス量が増え、排ガス熱損失が増加しやすい。,燃料消費が必ずゼロになる。,燃焼用空気が不要になる。,水位が自動で一定になる。,安全弁が不要になる。,1,過剰空気が多すぎると、加熱されて捨てられる排ガス量が増える。
297,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,NOx発生の抑制に関する記述として、適切なものは次のうちどれか。,,,,,,燃焼温度や空気比を適切に管理する。,空気比を常に無限大にする。,不完全燃焼を常に発生させる。,水面計を閉じる。,安全弁を固定する。,1,NOxは高温燃焼や空気比に関係するため、燃焼管理が重要である。
298,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,排ガス中の酸素濃度が高すぎる場合に疑われることとして、適切なものは次のうちどれか。,,,,,,過剰空気が多い可能性がある。,空気不足が必ず起きている。,COが必ずゼロである。,燃料が全く供給されていないことだけを示す。,水処理が完了したことを示す。,1,O2濃度は空気比判断の手掛かりとなり、高すぎる場合は過剰空気を疑う。
299,single,燃料及び燃焼に関する知識,燃焼計算・燃焼管理,完全燃焼に必要な条件として、適切でないものは次のうちどれか。,,,,,,適切な空気量,燃料と空気の良好な混合,十分な燃焼温度,十分な燃焼時間,燃料と空気を接触させないこと,5,完全燃焼には、空気量、混合、温度、時間が重要である。
300,single,燃料及び燃焼に関する知識,燃焼計算・燃焼管理,黒煙が発生している場合に疑われることとして、適切なものは次のうちどれか。,,,,,,空気不足や噴霧不良などによる不完全燃焼,完全燃焼が常に最良である証拠,水処理の完了,安全弁の正常作動だけ,ボイラー検査証の更新,1,黒煙は燃焼不良、空気不足、霧化不良などを示すことが多い。
301,single,関係法令,伝熱面積・ボイラー種別,小型ボイラーに関する法令問題で注意すべきこととして、適切なものは次のうちどれか。,,,,,,通常のボイラーとの適用範囲や手続の違いを確認する。,すべて通常のボイラーと全く同じ手続と考える。,燃料の色だけで判断する。,水面計のメーカーで判断する。,選択肢番号だけで判断する。,1,法令問題では、小型ボイラー、簡易ボイラー、通常のボイラーの区分が重要である。
302,single,関係法令,伝熱面積・ボイラー種別,簡易ボイラーに関する問題で注意すべきこととして、適切なものは次のうちどれか。,,,,,,適用除外や区分を通常のボイラーと混同しない。,必ず作業主任者選任が同じになる。,伝熱面積を無視してよい。,水処理だけで区分する。,煙突高さだけで区分する。,1,簡易ボイラーは法令上の扱いが異なるため、区分の混同に注意する。
303,single,関係法令,設置・ボイラー室,ボイラー室の整理整頓に関する記述として、適切なものは次のうちどれか。,,,,,,運転や避難に支障がないよう通路や周囲を確保する。,炉前に可燃物を積み上げる。,出入口を資材でふさぐ。,燃料漏れを放置する。,照明を常に消して点検しにくくする。,1,ボイラー室では取扱い、点検、避難に支障がない環境を保つ。
304,single,関係法令,設置・ボイラー室,ボイラー室の換気に関する記述として、適切なものは次のうちどれか。,,,,,,燃焼用空気の確保や室温上昇防止のため重要である。,換気は燃焼に関係しない。,常に密閉するほど安全である。,燃料漏れ時も換気してはならない。,水面計の代わりになる。,1,ボイラー室の換気は燃焼、安全、作業環境の面で重要である。
305,single,関係法令,検査・検査証,使用検査に関する問題で注意すべきこととして、適切なものは次のうちどれか。,,,,,,輸入や一定の設置前使用など、検査の目的と場面を区別する。,性能検査と常に同じ意味である。,定期自主検査と常に同じ意味である。,燃料検査のことだけをいう。,水質検査だけをいう。,1,法令では検査名ごとに場面や目的が異なるため、名称の混同に注意する。
306,single,関係法令,検査・検査証,落成検査に関する記述として、適切なものは次のうちどれか。,,,,,,設置後、使用前に受ける検査として問われる。,毎日行う燃焼点検だけをいう。,燃料販売時の品質検査である。,水面計の吹出しだけをいう。,安全弁の購入手続だけをいう。,1,落成検査は設置後の使用開始前に関連して出題される。
307,single,関係法令,検査・検査証,性能検査に関する記述として、適切なものは次のうちどれか。,,,,,,継続使用のため、一定期間ごとに受ける検査として問われる。,点火前換気の別名である。,燃料油の粘度測定だけをいう。,水面計の清掃だけをいう。,安全弁を固定する検査である。,1,性能検査はボイラー検査証の有効期間更新と関連して問われる。
308,single,関係法令,検査・検査証,ボイラー検査証の有効期間に関する問題で注意すべきこととして、適切なものは次のうちどれか。,,,,,,性能検査や有効期間更新の扱いを確認する。,有効期間は一切存在しない。,燃料価格で有効期間が決まる。,作業者の人数だけで決まる。,水面計の本数だけで決まる。,1,検査証の有効期間は性能検査と結び付けて問われやすい。
309,single,関係法令,変更・休止・廃止,ボイラーを休止する場合の法令問題で注意すべきこととして、適切なものは次のうちどれか。,,,,,,休止期間や再使用時の手続を確認する。,休止すればすべての手続が永久に不要になる。,燃料を入れたままなら手続は関係ない。,水面計の本数だけで判断する。,煙突を外せば必ず検査不要である。,1,休止や再使用に関する問題では、条件と必要手続を整理して読む。
310,single,関係法令,変更・休止・廃止,ボイラーの主要部分を変更する場合に注意すべきこととして、適切なものは次のうちどれか。,,,,,,変更届や変更検査の要否を確認する。,どの変更も必ず手続不要である。,塗装色だけで変更検査が決まる。,作業者の好みで判断する。,燃料販売店が自動的に判断する。,1,胴、ドラム、過熱器など主要部分の変更は法令問題で頻出である。
311,single,関係法令,作業主任者・取扱資格,ボイラー取扱作業主任者の選任に関する記述として、適切なものは次のうちどれか。,,,,,,一定のボイラー取扱作業では資格を有する者から選任する。,誰でも無条件に選任できる。,燃料販売店が必ず選任される。,水処理薬剤の納入者が自動で選任される。,検査証があれば選任は常に不要である。,1,作業主任者は法令に基づき、資格者から選任する必要がある。
312,single,関係法令,作業主任者・取扱資格,作業主任者の職務として、適切でないものは次のうちどれか。,,,,,,圧力、水位、燃焼状態を監視する。,急激な負荷変動を避けるよう注意する。,安全弁の機能を保持する。,低水位などの異常を防止する。,安全装置を取り外して運転を続ける。,5,作業主任者は安全装置の機能保持や異常防止を図る立場である。
313,single,関係法令,作業主任者・取扱資格,取扱資格の問題で読み落としやすい条件として、適切なものは次のうちどれか。,,,,,,ボイラーの種類、伝熱面積、圧力などの条件,選択肢の文字数,問題番号の偶奇,燃料販売店の名称,ボイラー室の床色,1,取扱資格は種類や規模の条件によって範囲が異なる。
314,single,関係法令,附属品・安全弁・圧力計,安全弁に関する記述として、適切なものは次のうちどれか。,,,,,,ボイラーの圧力上昇を防ぐ重要な安全装置である。,水位を測る計器である。,燃料を霧化するノズルである。,排ガスを分析する装置である。,給水を軟化する薬剤である。,1,安全弁は過圧防止のために設けられる代表的な安全装置である。
315,single,関係法令,附属品・安全弁・圧力計,圧力計に関する法令問題で注意すべきこととして、適切なものは次のうちどれか。,,,,,,最高使用圧力や目盛、取付状態に関する規定を確認する。,圧力計は法令問題で一切扱われない。,水面計と同じものとして扱う。,燃料の種類だけで目盛が決まる。,作業者の年齢で目盛が決まる。,1,圧力計は最高使用圧力との関係や取付方法が問われやすい。
316,single,関係法令,附属品・安全弁・圧力計,水面測定装置に関する記述として、適切なものは次のうちどれか。,,,,,,ボイラーの安全運転に必要な水位確認のために設けられる。,燃料中の硫黄分を測る装置である。,煙突の高さを測る装置である。,排ガス中のCOを測る装置である。,安全弁のばねを作る装置である。,1,水位確認は低水位事故防止の基本であり、水面計などが重要である。
317,single,関係法令,定期自主検査・変更届,定期自主検査の記録に関する問題で注意すべきこととして、適切なものは次のうちどれか。,,,,,,検査項目、結果、補修内容などの記録保存を確認する。,記録は一切不要である。,燃料価格だけを記録する。,作業者の趣味だけを記録する。,水面計の色だけを記録する。,1,定期自主検査では実施内容や結果の記録が問われやすい。
318,single,関係法令,定期自主検査・変更届,定期自主検査で自動制御装置を点検する理由として、適切なものは次のうちどれか。,,,,,,燃焼や水位の安全制御が正常に働くか確認するため。,燃料販売価格を決めるため。,作業者の資格を自動で更新するため。,ボイラー室の色を決めるため。,煙突を自動で撤去するため。,1,自動制御装置は異常時の安全確保に関係するため、点検が重要である。
319,single,関係法令,定期自主検査・変更届,定期自主検査で水処理装置を確認する理由として、適切なものは次のうちどれか。,,,,,,スケールや腐食障害の防止に関係するため。,燃料の色を変えるため。,安全弁を不要にするため。,作業主任者を不要にするため。,検査証を自動発行するため。,1,水処理装置の異常はスケール、腐食、キャリオーバなどにつながる。
320,single,関係法令,法令総合,法令問題を解く際に最も重要な読み方として、適切なものは次のうちどれか。,,,,,,『除く』『以上』『未満』などの条件語を正確に読む。,問題文の条件語を無視する。,選択肢の長さだけで判断する。,必ず選択肢1を選ぶ。,科目名だけで判断する。,1,法令問題では、対象範囲や数値条件を示す語句が正答を左右する。
321,single,ボイラーの構造に関する知識,熱・蒸気・圧力,水の比熱に関する記述として、適切なものは次のうちどれか。,,,,,,水1kgの温度を1K上げるのに必要な熱量に関係する。,安全弁の吹出し圧力を表す。,燃料油の粘度だけを表す。,煙突の高さを表す。,水面計のガラス長さを表す。,1,比熱は単位質量の物質の温度を単位温度上げるために必要な熱量である。
322,single,ボイラーの構造に関する知識,熱・蒸気・圧力,絶対圧力に関する記述として、適切なものは次のうちどれか。,,,,,,大気圧を基準にした圧力である。,真空を基準にした圧力である。,燃料の発熱量である。,水位の高さだけを示す。,安全弁の口径だけを示す。,2,絶対圧力は完全真空を基準とする圧力で、ゲージ圧とは区別する。
323,single,ボイラーの構造に関する知識,熱・蒸気・圧力,圧力が高くなると水の沸点は一般にどうなるか。,,,,,,低くなる。,変わらない。,高くなる。,必ず0度になる。,燃料の種類だけで決まる。,3,飽和温度は圧力が高くなるほど高くなる。
324,single,ボイラーの構造に関する知識,熱・蒸気・圧力,湿り蒸気に関する記述として、適切なものは次のうちどれか。,,,,,,乾き飽和蒸気と水滴が混じった蒸気である。,必ず過熱蒸気である。,燃料ガスだけをいう。,水面計の内部水だけをいう。,圧力計内の空気だけをいう。,1,湿り蒸気は蒸気中に水滴を含む状態で、乾き度が1未満である。
325,single,ボイラーの構造に関する知識,燃焼室・伝熱面,伝熱面にすすが付着した場合の影響として、適切なものは次のうちどれか。,,,,,,熱伝達が悪くなり、排ガス温度が上がることがある。,伝熱が必ず良くなる。,水位が自動で安定する。,燃料中の硫黄分が消える。,安全弁が不要になる。,1,すすは断熱層となり、熱効率低下や排ガス温度上昇の原因となる。
326,single,ボイラーの構造に関する知識,燃焼室・伝熱面,炉壁の耐火材に関する記述として、適切なものは次のうちどれか。,,,,,,高温ガスから外壁を保護し、熱損失を抑える。,燃料を自動で脱硫する。,水の硬度を下げる。,圧力計の目盛を増やす。,水面計の代わりに水位を表示する。,1,耐火材や保温材は高温部の保護と熱損失低減に役立つ。
327,single,ボイラーの構造に関する知識,水循環・水管ボイラー,水循環が悪くなると起こり得る障害として、適切なものは次のうちどれか。,,,,,,伝熱面の過熱や焼損。,燃料の発熱量増加。,安全弁の自動増設。,水面計の不要化。,煙突高さの低下。,1,水循環不良は冷却不足を招き、伝熱面の過熱につながる。
328,single,ボイラーの構造に関する知識,水循環・水管ボイラー,ドラムに関する記述として、適切なものは次のうちどれか。,,,,,,蒸気と水を分離し、水管群の水循環にも関係する。,燃料だけを貯蔵する。,煙突の先端部である。,安全弁のばねである。,給水ポンプの羽根車である。,1,ドラムは気水分離や給水・蒸気の集まり、水循環に関係する主要部である。
329,single,ボイラーの構造に関する知識,炉筒煙管・貫流・鋳鉄製,貫流ボイラーで水質管理が重要な理由として、適切なものは次のうちどれか。,,,,,,保有水量が少なく、管内でのスケールや腐食の影響を受けやすい。,水を全く使わないため。,燃料だけで蒸気を直接作るため。,安全弁を設けないため。,水面計が常に不要なため。,1,貫流ボイラーは保有水量が少なく、給水管理と制御が重要である。
330,single,ボイラーの構造に関する知識,炉筒煙管・貫流・鋳鉄製,丸ボイラーの特徴として、適切なものは次のうちどれか。,,,,,,胴内に比較的多くの水を保有するものがある。,必ず水を保有しない。,燃料ガスだけを貯蔵する。,安全弁を設けることができない。,蒸気を発生できない。,1,丸ボイラーは胴に水を保有し、炉筒煙管式などが代表例である。
331,single,ボイラーの構造に関する知識,給水・節炭器・空気予熱器,節炭器の水漏れが疑われる兆候として、適切なものは次のうちどれか。,,,,,,煙道内の湿りや給水量の異常増加。,燃料発熱量の上昇。,水位計の消失。,安全弁の不要化。,煙突高さの自動上昇。,1,節炭器漏れでは煙道側への水漏れ、給水量変化、排ガス状態変化などに注意する。
332,single,ボイラーの構造に関する知識,給水・節炭器・空気予熱器,空気予熱器で燃焼用空気を予熱する利点として、適切なものは次のうちどれか。,,,,,,燃焼改善と熱効率向上に役立つ。,水位確認を不要にする。,燃料中の灰分をなくす。,安全弁の作動を止める。,給水を軟化する。,1,空気予熱器は排熱を利用して燃焼用空気を温め、効率改善に寄与する。
333,single,ボイラーの構造に関する知識,給水・節炭器・空気予熱器,給水ポンプのキャビテーションに関する記述として、適切なものは次のうちどれか。,,,,,,吸込み側圧力低下などで気泡が発生し、騒音や損傷を招く。,燃料の完全燃焼をいう。,水面計の吹出しをいう。,安全弁の吹出しをいう。,煙突の自然通風をいう。,1,キャビテーションはポンプ内で気泡が発生・崩壊し、性能低下や損傷につながる現象である。
334,single,ボイラーの構造に関する知識,附属品・計測器,水面計を2個設ける趣旨として、適切なものは次のうちどれか。,,,,,,一方に異常があっても水位確認の信頼性を高めるため。,水位を見えにくくするため。,燃料を節約するためだけ。,蒸気圧を下げるためだけ。,煙突通風を止めるため。,1,水面計は低水位事故防止に重要で、複数設置により確認の信頼性を高める。
335,single,ボイラーの構造に関する知識,附属品・計測器,安全弁の弁座漏れがある場合の影響として、適切なものは次のうちどれか。,,,,,,蒸気漏れによる損失や作動不良につながる。,燃焼効率が必ず上がる。,水質が必ず改善する。,給水が不要になる。,低水位が起こらなくなる。,1,安全弁の漏れは蒸気損失や機能低下の原因となるため点検が必要である。
336,single,ボイラーの構造に関する知識,附属品・計測器,圧力計の目盛範囲に関する記述として、適切なものは次のうちどれか。,,,,,,使用圧力を読み取りやすく、過圧も確認できる範囲が必要である。,目盛は全く不要である。,燃料の粘度だけを表示すればよい。,水位だけを表示すればよい。,煙突高さだけを表示すればよい。,1,圧力計は運転圧力と安全管理に必要な範囲を読み取れるものを用いる。
337,single,ボイラーの構造に関する知識,自動制御・燃焼安全装置,インタロックに関する記述として、適切なものは次のうちどれか。,,,,,,必要条件が満たされないと燃焼開始などを許可しない仕組みである。,燃料を加熱するだけの装置である。,水処理薬剤の名称である。,煙突内のすすである。,安全弁のばね材料である。,1,燃焼安全では、送風や火炎検出などの条件を満たさないと燃料供給しない制御が重要である。
338,single,ボイラーの構造に関する知識,自動制御・燃焼安全装置,シーケンス制御に関する記述として、適切なものは次のうちどれか。,,,,,,点火、燃焼、停止などを所定の順序で進める制御である。,水の硬度だけを下げる制御である。,燃料の硫黄分を測る制御である。,安全弁を固定する制御である。,煙突高さを測る制御である。,1,シーケンス制御は、安全な順序で機器を動作させるために用いられる。
339,single,ボイラーの構造に関する知識,自動制御・燃焼安全装置,高圧燃料遮断に関する記述として、適切なものは次のうちどれか。,,,,,,蒸気圧力が異常に上昇したとき燃料供給を止める安全機能である。,給水を加熱する機能である。,水位を高く表示する機能である。,燃料中の水分を増やす機能である。,煙突を冷却する機能である。,1,高圧時の燃料遮断は過圧事故を防ぐための安全機能である。
340,single,ボイラーの構造に関する知識,附属品・計測器,蒸気止め弁に関する記述として、適切なものは次のうちどれか。,,,,,,ボイラーから蒸気を送る配管を開閉するために設ける。,給水中の酸素を除去する薬剤である。,燃料油をろ過する装置である。,煙突内の通風力を発生させる装置である。,水面計の代わりに水位を示す装置である。,1,蒸気止め弁は蒸気の送出を開閉する重要な附属品である。
341,single,ボイラーの取扱いに関する知識,点火・たき始め,点火前に燃料漏れを確認する理由として、適切なものは次のうちどれか。,,,,,,漏れた燃料への着火や爆発を防ぐため。,給水を軟化するため。,蒸気の乾き度を上げるためだけ。,安全弁の口径を測るため。,水面計の色を変えるため。,1,燃料漏れは火災や爆発の原因となるため、点火前確認が必要である。
342,single,ボイラーの取扱いに関する知識,点火・たき始め,冷たいボイラーを急激にたき上げることが適切でない理由として、適切なものは次のうちどれか。,,,,,,熱応力や漏れを生じやすいため。,燃料が必ず不要になるため。,水位が見えなくなる法令があるため。,安全弁が増えるため。,煙突が短くなるため。,1,急熱は部材の温度差を大きくし、熱応力や漏れの原因となる。
343,single,ボイラーの取扱いに関する知識,水位・低水位,水面計の水側連絡管が詰まった場合に起こり得ることとして、適切なものは次のうちどれか。,,,,,,実際より水位が高く見えるなど誤表示の原因となる。,燃料発熱量が上がる。,安全弁が不要になる。,給水ポンプの能力が必ず向上する。,排ガス中の酸素がゼロになる。,1,水面計連絡管の閉塞は誤水位表示につながるため危険である。
344,single,ボイラーの取扱いに関する知識,水位・低水位,水面計の蒸気側連絡管が詰まった場合の注意として、適切なものは次のうちどれか。,,,,,,水位表示が不正確になるため機能試験で確認する。,表示は必ず正確になる。,燃焼状態だけが改善する。,安全弁の作動圧が下がる。,燃料中の水分が消える。,1,蒸気側、水側いずれの連絡管閉塞も水位誤認の原因となる。
345,single,ボイラーの取扱いに関する知識,水位・低水位,水位が見えなくなったときの対応として、適切なものは次のうちどれか。,,,,,,燃焼を停止し、水位確認と原因確認を行う。,水位を確認せず燃焼を続ける。,燃焼量を最大にする。,安全弁を固定する。,低水位警報を外す。,1,水位不明のまま運転することは危険であり、まず安全側に停止する。
346,single,ボイラーの取扱いに関する知識,吹出し・水管理,ボイラー水の電気伝導率を測る目的として、適切なものは次のうちどれか。,,,,,,溶解固形分の濃縮状態を推定するため。,燃料の発熱量を直接測るため。,安全弁のばね力を測るため。,火炎の明るさを測るため。,煙突高さを測るため。,1,電気伝導率はボイラー水の濃縮管理の指標として用いられる。
347,single,ボイラーの取扱いに関する知識,吹出し・水管理,りん酸塩処理に関する記述として、適切なものは次のうちどれか。,,,,,,硬度成分を軟らかいスラッジとして処理する目的で用いられることがある。,燃料の硫黄分を除去する。,安全弁の吹出し圧力を上げる。,煙突内のすすを燃やす。,水位を直接表示する。,1,りん酸塩処理は硬度成分によるスケール障害の防止に関係する。
348,single,ボイラーの取扱いに関する知識,水処理・スケール・腐食,脱酸素剤を用いる目的として、適切なものは次のうちどれか。,,,,,,給水中の溶存酸素を減らし腐食を抑える。,燃料の粘度を上げる。,排ガス中の酸素を増やす。,水面計を不要にする。,安全弁を固定する。,1,溶存酸素は腐食原因となるため、脱気や脱酸素剤で管理する。
349,single,ボイラーの取扱いに関する知識,水処理・スケール・腐食,アルカリ腐食や苛性脆化に関する問題で注意すべきこととして、適切なものは次のうちどれか。,,,,,,過度なアルカリ濃縮や応力部での障害として整理する。,燃料の完全燃焼だけの問題である。,水位計の照明だけの問題である。,煙突高さだけで決まる。,安全弁口径だけで決まる。,1,水質の過度な濃縮や局部濃縮は腐食・脆化の問題として問われる。
350,single,ボイラーの取扱いに関する知識,キャリオーバ・スートブロー,キャリオーバが発生した場合に起こり得ることとして、適切なものは次のうちどれか。,,,,,,蒸気配管や過熱器に水分・不純物が運ばれる。,蒸気が必ず完全に乾く。,燃料消費がゼロになる。,水位確認が不要になる。,安全弁が必ず閉じなくなる。,1,キャリオーバは蒸気側への水分・不純物持込みで、配管や機器に悪影響を及ぼす。
351,single,ボイラーの取扱いに関する知識,キャリオーバ・スートブロー,ウォータハンマが起こりやすい状況として、適切なものは次のうちどれか。,,,,,,蒸気配管内に復水がたまっている。,燃料タンクが空である。,煙突が高い。,安全弁の銘板が読める。,給水が軟化されている。,1,蒸気配管内の復水はウォータハンマの原因となるため、ドレン排出が重要である。
352,single,ボイラーの取扱いに関する知識,保存・停止・清掃,長期停止前の清掃で重視すべきこととして、適切なものは次のうちどれか。,,,,,,スラッジやすすを除去し、腐食原因を減らす。,燃料漏れを放置する。,水位計を破損させる。,安全弁を固定する。,煙道を詰まらせる。,1,停止保存前は内部・外部の汚れを除去して腐食や劣化を防ぐ。
353,single,ボイラーの取扱いに関する知識,保存・停止・清掃,満水保存でボイラー水を満たす理由として、適切なものは次のうちどれか。,,,,,,空気との接触を減らして腐食を抑えるため。,燃料を増やすため。,安全弁を作動させ続けるため。,水面計を隠すため。,煙突を洗うため。,1,満水保存は脱酸素した水で満たし、酸素接触を抑える保存法である。
354,single,ボイラーの取扱いに関する知識,燃焼安全装置,燃焼安全装置のリセット後に直ちに再点火してよいかについて、適切なものは次のうちどれか。,,,,,,原因確認と換気など安全確認が必要である。,原因を確認せず何度も再点火してよい。,燃料を増やして再点火する。,火炎検出器を外す。,低水位警報を止める。,1,安全装置が作動した場合は原因を確認し、未燃ガス排出などを行ってから再点火する。
355,single,ボイラーの取扱いに関する知識,燃焼安全装置,火炎検出器の点検で注意すべきこととして、適切なものは次のうちどれか。,,,,,,汚れ、取付位置、検出状態を確認する。,汚れているほど感度が上がる。,常に取り外して運転する。,水位確認の代わりに使う。,燃料の硫黄分を測る。,1,火炎検出器の異常は失火検出や燃料遮断に影響する。
356,single,ボイラーの取扱いに関する知識,異常時対応,逆火が発生した場合の対応として、適切なものは次のうちどれか。,,,,,,燃料を遮断し、原因を確認してから再点火する。,燃料をさらに多く送る。,炉内換気をしない。,安全装置を無効にする。,水位を見ずに運転を続ける。,1,逆火は燃焼異常であり、燃料遮断、換気、原因確認が必要である。
357,single,ボイラーの取扱いに関する知識,異常時対応,燃料油圧が異常に低い場合に疑う事項として、適切なものは次のうちどれか。,,,,,,ストレーナ詰まり、ポンプ不良、弁の状態など。,水位が高いことだけ。,安全弁の口径だけ。,煙突高さだけ。,ボイラー検査証の有効期間だけ。,1,燃料油圧異常では燃料系統の詰まり、漏れ、ポンプ、弁を確認する。
358,single,ボイラーの取扱いに関する知識,異常時対応,排ガス温度が通常より高い場合に疑うこととして、適切なものは次のうちどれか。,,,,,,伝熱面のすす付着やスケール付着。,水質が必ず完全であること。,燃料が不要になったこと。,安全弁が不要になったこと。,水面計の閉塞だけ。,1,排ガス温度上昇は伝熱不良や燃焼過剰などのサインとなる。
359,single,ボイラーの取扱いに関する知識,日常点検,日常点検で給水系統について確認する事項として、適切なものは次のうちどれか。,,,,,,ポンプ、弁、漏れ、圧力、給水量など。,燃料販売店の所在地だけ。,煙突の塗装色だけ。,安全弁の価格だけ。,作業者の通勤経路だけ。,1,給水系統の異常は低水位や運転停止につながるため、日常確認が重要である。
360,single,ボイラーの取扱いに関する知識,日常点検,燃焼状態の目視確認で見る事項として、適切なものは次のうちどれか。,,,,,,火炎の形、色、安定性、煙の状態など。,作業靴の色だけ。,検査証の紙質だけ。,水処理薬剤の容器色だけ。,燃料販売店の看板だけ。,1,火炎や煙の状態は燃焼良否を判断する基本情報である。
361,single,燃料及び燃焼に関する知識,燃料性質・発熱量,液体燃料の引火点に関する記述として、適切なものは次のうちどれか。,,,,,,可燃性蒸気を発生し、点火源で引火し得る最低温度である。,必ず燃焼温度と同じである。,水の沸点である。,安全弁の作動温度である。,煙突内の温度である。,1,引火点は燃料の取扱安全上重要な性質である。
362,single,燃料及び燃焼に関する知識,燃料性質・発熱量,燃料の密度に関する記述として、適切なものは次のうちどれか。,,,,,,単位体積当たりの質量で、貯蔵量や流量換算に関係する。,水位の高さだけを示す。,安全弁の吹出し量である。,排ガス中の酸素濃度である。,給水のpHである。,1,密度は質量と体積の換算や燃料管理で用いられる。
363,single,燃料及び燃焼に関する知識,燃料性質・発熱量,燃料の元素分析で主に見る成分として、適切でないものは次のうちどれか。,,,,,,炭素,水素,硫黄,酸素,水面計目盛,5,燃料の元素分析では炭素、水素、硫黄、酸素、窒素などが扱われる。
364,single,燃料及び燃焼に関する知識,重油・低温腐食,重油中の硫黄分が多い場合に起こりやすい障害として、適切なものは次のうちどれか。,,,,,,SOx発生や低温腐食。,水位の自動安定。,安全弁の不要化。,燃焼用空気不要化。,灰分の完全消失。,1,硫黄分はSOxや硫酸露点、低温腐食と関連する。
365,single,燃料及び燃焼に関する知識,重油・低温腐食,低温腐食を防ぐ考え方として、適切なものは次のうちどれか。,,,,,,排ガス温度を酸露点以下にしないよう管理する。,排ガスを必ず0度まで冷やす。,硫黄分を増やす。,空気予熱器を必ず水で満たす。,燃焼用空気をゼロにする。,1,低温腐食は酸露点以下で起こりやすく、排ガス温度管理が重要である。
366,single,燃料及び燃焼に関する知識,油バーナ,燃料油の霧化が悪い場合に起こり得ることとして、適切なものは次のうちどれか。,,,,,,黒煙や未燃分の増加。,完全燃焼の保証。,燃料消費ゼロ。,NOx必ずゼロ。,水位の自動補正。,1,霧化不良は燃料と空気の混合不良を招き、不完全燃焼につながる。
367,single,燃料及び燃焼に関する知識,油バーナ,油バーナの燃焼量調整に関係するものとして、適切なものは次のうちどれか。,,,,,,燃料圧力、戻り油量、空気量など。,水面計の目盛色だけ。,安全弁の銘板だけ。,煙突の塗色だけ。,作業者の人数だけ。,1,油バーナでは燃料供給量と空気量を適切に調整する。
368,single,燃料及び燃焼に関する知識,油バーナ,バーナタイルの目的として、適切なものは次のうちどれか。,,,,,,火炎の安定や燃焼室入口部の保護に役立つ。,給水を軟化する。,燃料の硫黄を除去する。,水面計の水位を表示する。,安全弁を作動させる。,1,バーナタイルは火炎保持や高温部保護に関係する部材である。
369,single,燃料及び燃焼に関する知識,気体燃料・燃焼方式,都市ガスなどの気体燃料で漏えい検知が重要な理由として、適切なものは次のうちどれか。,,,,,,空気と混合して爆発性混合気を作るおそれがあるため。,水質を悪化させるためだけ。,安全弁の作動圧が上がるためだけ。,煙突を短くするため。,給水ポンプを止めるためだけ。,1,気体燃料は漏えい時に火災・爆発リスクが大きく、検知と換気が重要である。
370,single,燃料及び燃焼に関する知識,気体燃料・燃焼方式,ガス燃料の燃焼管理で確認する事項として、適切なものは次のうちどれか。,,,,,,ガス圧、空気量、火炎状態、漏えいの有無。,水面計の材質だけ。,安全弁の価格だけ。,燃料タンク底の水だけ。,ボイラー室の床色だけ。,1,ガス燃料では圧力、空気量、火炎、漏えい管理が重要である。
371,single,燃料及び燃焼に関する知識,通風・ファン,炉内圧が正圧になりすぎた場合の問題として、適切なものは次のうちどれか。,,,,,,火炎や燃焼ガスの噴出のおそれがある。,水質が必ず改善する。,燃料消費がゼロになる。,安全弁が不要になる。,排ガスが発生しない。,1,炉内圧の過度な正圧は燃焼ガス漏れや安全上の問題を招く。
372,single,燃料及び燃焼に関する知識,通風・ファン,通風が強すぎる場合に起こり得ることとして、適切なものは次のうちどれか。,,,,,,火炎が不安定になり、排ガス熱損失が増えることがある。,燃料が不要になる。,水位が必ず上がる。,スケールが瞬時に消える。,安全弁が開かなくなる。,1,過大通風は燃焼不安定や熱損失増加の原因になる。
373,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,空気不足で増加しやすいものとして、適切なものは次のうちどれか。,,,,,,一酸化炭素。,給水硬度の低下。,安全弁数。,ボイラー検査証の枚数。,水面計の長さ。,1,空気不足では不完全燃焼となりCOやすすが増加しやすい。
374,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,燃焼温度が高いほど増加しやすい大気汚染物質として、適切なものは次のうちどれか。,,,,,,NOx。,水蒸気の乾き度。,給水硬度。,安全弁口径。,ボイラー室照度。,1,高温燃焼ではサーマルNOxが増加しやすい。
